15:50:55:164 (7116) > --- NIXXES log start ---
15:50:55:166 (7116) > 
15:50:55:166 (7116) > Memory statistics:
15:50:55:166 (7116) >   Total RAM = 16.0 GB (16344 MB)
15:50:55:167 (7116) >   Avail RAM = 12.6 GB (12918 MB)
15:50:55:167 (7116) >   Total virtual memory = 4.0 GB (4095 MB)
15:50:55:167 (7116) >   Avail virtual memory = 3.4 GB (3440 MB)
15:50:55:168 (7116) > OS = Windows 8 (build 9200)
15:50:55:168 (7116) > Starting Tomb Raider v1.01.748.0
15:50:56:748 (7116) > [Main] Current directory: D:\Giochi\steamapps\common\Tomb Raider
15:50:56:852 (7116) > Mounted TITLE.000
15:50:56:873 (7116) > Mounted PATCH.000
15:50:56:899 (7116) > Mounted PATCH2.000
15:50:56:984 (7116) > [Render] PCDeviceManager constructor start
15:50:57:016 (7116) > [Render] PCDeviceManager constructor end
15:50:57:605 (7116) > [Render] PCDX11DeviceManager constructor start
15:50:57:608 (7116) > D3D Adapter Information:
15:50:57:608 (7116) > Adapter Description: NVIDIA GeForce GTX 960
15:50:57:608 (7116) > VendorID: 10de
15:50:57:609 (7116) > DeviceID: 1401
15:50:57:609 (7116) > Revision: a1
15:50:57:609 (7116) > NVidia hardware detected. Attemping to load NVAPI...
15:50:57:610 (7116) > NVAPI loaded succesfully.
15:50:57:714 (7116) > NvAPI_Stereo_IsEnabled() returned an error: -140
15:50:58:124 (7116) > Reducing mouse lag by setting frame latency to 1...
15:50:58:126 (7116) > D3D reports feature level 11 is supported.
15:50:58:129 (7116) > NVAPI Depth Bounds Test supported.
15:50:58:158 (7116) > D3D Adapter Information:
15:50:58:158 (7116) > Adapter Description: Microsoft Basic Render Driver
15:50:58:159 (7116) > VendorID: 1414
15:50:58:159 (7116) > DeviceID: 8c
15:50:58:159 (7116) > Revision: 0
15:50:58:161 (7116) > Reducing mouse lag by setting frame latency to 1...
15:50:58:162 (7116) > D3D reports feature level 11 is supported.
15:50:58:162 (7116) > D3D reports no hardware multiple command list support.
15:50:58:162 (7116) > D3D reports no hardware concurrent creates.
15:50:58:162 (7116) > [Render] Adapter M has no outputs!
15:50:58:162 (7116) > [Render] PCDX11DeviceManager constructor end
15:51:47:595 (7116) > CPU count: logical = 4, cores = 4, physical = 1
15:51:47:605 (7116) > D3D Adapter Information:
15:51:47:605 (7116) > Adapter Description: NVIDIA GeForce GTX 960
15:51:47:605 (7116) > VendorID: 10de
15:51:47:605 (7116) > DeviceID: 1401
15:51:47:606 (7116) > Revision: a1
15:51:47:606 (7116) > NVidia hardware detected. Attemping to load NVAPI...
15:51:47:606 (7116) > NVAPI loaded succesfully.
15:51:47:606 (7116) > NvAPI_Stereo_IsEnabled() returned an error: -140
15:51:47:624 (7116) > Reducing mouse lag by setting frame latency to 1...
15:51:47:624 (7116) > D3D reports feature level 11 is supported.
15:51:47:625 (7116) > NVAPI Depth Bounds Test supported.
15:51:47:682 (4040) > CreateSwapChain() = 0
15:51:47:683 (4040) > MakeWindowAssociation() = 0
15:51:48:392 (4040) > SetFullscreenState() = 0
15:51:48:500 (7116) > [Render] Using DirectX 11
15:51:48:846 (7116) > Initalizing audio...
15:51:48:888 (7116) > Audio device found. FMOD reports 3 driver(s).
15:51:48:888 (7116) > Audio Driver Name: Altoparlanti (Realtek High Definition Audio)
15:51:48:889 (7116) > Speaker Mode: 2
15:51:53:281 (7116) > WebService is not ready yet, retry...
15:51:53:590 (7116) > WebService is not ready yet, retry...
15:51:53:609 (7116) > WebService is not ready yet, retry...
15:51:53:638 (7116) > WebService is not ready yet, retry...
15:51:53:645 (7116) > WebService is not ready yet, retry...
15:51:53:651 (7116) > WebService is not ready yet, retry...
15:51:53:658 (7116) > WebService is not ready yet, retry...
15:51:53:665 (7116) > WebService is not ready yet, retry...
15:51:53:665 (7116) > WebService is not ready yet, retry...
15:51:53:672 (7116) > WebService is not ready yet, retry...
15:51:53:672 (7116) > WebService is not ready yet, retry...
15:51:53:687 (7116) > WebService is not ready yet, retry...
15:51:53:687 (7116) > WebService is not ready yet, retry...
15:51:53:704 (7116) > WebService is not ready yet, retry...
15:51:53:705 (7116) > WebService is not ready yet, retry...
15:51:53:721 (7116) > WebService is not ready yet, retry...
15:51:53:721 (7116) > WebService is not ready yet, retry...
15:51:53:738 (7116) > WebService is not ready yet, retry...
15:51:53:738 (7116) > WebService is not ready yet, retry...
15:51:53:753 (7116) > WebService is not ready yet, retry...
15:51:53:753 (7116) > WebService is not ready yet, retry...
15:51:53:771 (7116) > WebService is not ready yet, retry...
15:51:53:771 (7116) > WebService is not ready yet, retry...
15:51:53:788 (7116) > WebService is not ready yet, retry...
15:51:53:788 (7116) > WebService is not ready yet, retry...
15:51:53:797 (7116) > WebService is not ready yet, retry...
15:51:53:798 (7116) > WebService is not ready yet, retry...
15:51:53:814 (7116) > WebService is not ready yet, retry...
15:51:53:814 (7116) > WebService is not ready yet, retry...
15:51:53:829 (7116) > WebService is not ready yet, retry...
15:51:53:829 (7116) > WebService is not ready yet, retry...
15:51:53:848 (7116) > WebService is not ready yet, retry...
15:51:53:848 (7116) > WebService is not ready yet, retry...
15:51:53:864 (7116) > WebService is not ready yet, retry...
15:51:53:864 (7116) > WebService is not ready yet, retry...
15:51:53:880 (7116) > WebService is not ready yet, retry...
15:51:53:881 (7116) > WebService is not ready yet, retry...
15:51:53:897 (7116) > WebService is not ready yet, retry...
15:51:53:898 (7116) > WebService is not ready yet, retry...
15:51:53:914 (7116) > WebService is not ready yet, retry...
15:51:53:914 (7116) > WebService is not ready yet, retry...
15:51:53:930 (7116) > WebService is not ready yet, retry...
15:51:53:930 (7116) > WebService is not ready yet, retry...
15:51:53:947 (7116) > WebService is not ready yet, retry...
15:51:53:947 (7116) > WebService is not ready yet, retry...
15:51:53:963 (7116) > WebService is not ready yet, retry...
15:51:53:963 (7116) > WebService is not ready yet, retry...
15:51:53:981 (7116) > WebService is not ready yet, retry...
15:51:53:981 (7116) > WebService is not ready yet, retry...
15:51:53:997 (7116) > WebService is not ready yet, retry...
15:51:53:999 (7116) > WebService is not ready yet, retry...
15:51:54:013 (7116) > WebService is not ready yet, retry...
15:51:54:014 (7116) > WebService is not ready yet, retry...
15:51:54:031 (7116) > WebService is not ready yet, retry...
15:51:54:031 (7116) > WebService is not ready yet, retry...
15:51:54:047 (7116) > WebService is not ready yet, retry...
15:51:54:047 (7116) > WebService is not ready yet, retry...
15:51:54:064 (7116) > WebService is not ready yet, retry...
15:51:54:065 (7116) > WebService is not ready yet, retry...
15:51:54:080 (7116) > WebService is not ready yet, retry...
15:51:54:080 (7116) > WebService is not ready yet, retry...
15:51:54:098 (7116) > WebService is not ready yet, retry...
15:51:54:099 (7116) > WebService is not ready yet, retry...
15:51:54:114 (7116) > WebService is not ready yet, retry...
